contcod,country,region,year,bin_year,group,RRinc,RRmean
VEN,"Venezuela, RB",L. America & Carib.,1998,1998,1,227,2247
VEN,"Venezuela, RB",L. America & Carib.,2003,2003,1,111,1496
VEN,"Venezuela, RB",L. America & Carib.,2006,2008,1,316,2630
VNM,Vietnam,Other Asia,1992,1993,1,166,481
VNM,Vietnam,Other Asia,1998,1998,1,213,597
VNM,Vietnam,Other Asia,2004,2003,1,264,849
VNM,Vietnam,Other Asia,2008,2008,1,326,1024
YEM,"Yemen, Rep.",M. East & N. Africa,1998,1998,1,328,1084
YEM,"Yemen, Rep.",M. East & N. Africa,2005,2003,1,293,1008
YEM,"Yemen, Rep.",M. East & N. Africa,2008,2008,1,233,778
ZAF,South Africa,Sub-Saharan Africa,1993,1993,1,258,2063
ZAF,South Africa,Sub-Saharan Africa,2000,1998,1,235,1838
ZAF,South Africa,Sub-Saharan Africa,2005,2003,1,335,3131
ZAF,South Africa,Sub-Saharan Africa,2008,2008,1,361,3081
ZMB,Zambia,Sub-Saharan Africa,1993,1993,1,54,505
ZMB,Zambia,Sub-Saharan Africa,1998,1998,1,81,666
ZMB,Zambia,Sub-Saharan Africa,2002,2003,1,128,493
ZMB,Zambia,Sub-Saharan Africa,2006,2008,1,74,509
ZWE,Zimbabwe,Sub-Saharan Africa,1991,1993,1,112,753
ZWE,Zimbabwe,Sub-Saharan Africa,1996,1998,1,110,552
